state,group_id,center_lat,center_lon,radius_m,count,path,label
FL,FL110,30.394162,-87.247170,26852,40,/geo_groups/FL110.csv,FL-110
FL,FL111,30.395623,-86.988518,20036,18,/geo_groups/FL111.csv,FL-111
FL,FL112,30.421083,-86.612778,17658,39,/geo_groups/FL112.csv,FL-112
FL,FL113,30.439086,-84.908850,16708,5,/geo_groups/FL113.csv,FL-113
FL,FL114,30.486502,-84.248753,26252,70,/geo_groups/FL114.csv,FL-114
FL,FL115,30.518121,-87.263211,28109,91,/geo_groups/FL115.csv,FL-115
FL,FL116,30.552401,-84.467628,20203,22,/geo_groups/FL116.csv,FL-116
FL,FL117,30.553770,-83.176563,12206,4,/geo_groups/FL117.csv,FL-117
FL,FL118,30.567216,-81.671873,22277,42,/geo_groups/FL118.csv,FL-118
FL,FL119,30.567756,-83.870778,16492,23,/geo_groups/FL119.csv,FL-119
FL,FL120,30.574399,-87.054458,16769,26,/geo_groups/FL120.csv,FL-120
FL,FL121,30.595937,-84.873954,17870,9,/geo_groups/FL121.csv,FL-121
FL,FL122,30.623860,-86.229924,28761,69,/geo_groups/FL122.csv,FL-122
FL,FL123,30.625435,-85.987075,24031,15,/geo_groups/FL123.csv,FL-123
FL,FL124,30.628474,-86.557617,26359,67,/geo_groups/FL124.csv,FL-124
FL,FL125,30.630814,-81.529864,11111,17,/geo_groups/FL125.csv,FL-125
FL,FL126,30.651915,-83.642470,3002,2,/geo_groups/FL126.csv,FL-126
FL,FL127,30.710345,-85.240633,27951,12,/geo_groups/FL127.csv,FL-127
FL,FL128,30.733495,-85.628977,17560,14,/geo_groups/FL128.csv,FL-128
FL,FL129,30.774863,-81.979345,3165,4,/geo_groups/FL129.csv,FL-129
FL,FL130,30.869880,-85.946230,3000,1,/geo_groups/FL130.csv,FL-130
FL,FL131,30.878820,-85.161330,3000,1,/geo_groups/FL131.csv,FL-131
FL,FL132,30.915457,-86.637650,17262,3,/geo_groups/FL132.csv,FL-132
FL,FL133,30.933610,-85.556867,21654,4,/geo_groups/FL133.csv,FL-133
FL,FL134,30.981405,-87.257790,3013,2,/geo_groups/FL134.csv,FL-134
FL,FL135,30.993007,-86.191687,14202,3,/geo_groups/FL135.csv,FL-135
GA,GA001,30.684100,-83.208840,3000,1,/geo_groups/GA001.csv,GA-001
GA,GA002,30.696810,-83.312970,3000,1,/geo_groups/GA002.csv,GA-002
GA,GA003,30.754473,-84.456327,11512,3,/geo_groups/GA003.csv,GA-003
GA,GA004,30.772630,-84.073250,3590,2,/geo_groups/GA004.csv,GA-004
GA,GA005,30.781945,-83.865630,15318,2,/geo_groups/GA005.csv,GA-005
GA,GA006,30.785477,-81.645210,3138,3,/geo_groups/GA006.csv,GA-006
GA,GA007,30.864531,-83.277121,21657,15,/geo_groups/GA007.csv,GA-007
GA,GA008,30.880866,-84.461186,13056,5,/geo_groups/GA008.csv,GA-008
